item_name	category	tags	id
Rinderfilet 180g + Süßkartoffel-Pommes + Salat mit HD + Pfeffersauce	800 Grad Grill + Abfrage Grill Beilagen 1 + Abfrage Grill Beilagen 1 + Abfrage 2 Grill Saucen	set()	1107036
Rösti * 1	Kotelette	set()	202908
Schnitzel mit schmorzwiebeln	Hauptgang	set()	987536
W3 Sakana Tempura	8 Sushi	set()	327037
ProSkin 60	Gesichtsbehandlungen	set()	997357
Nutella	Aufstrich	set()	599048
Latte doppelter Espresso	Kaffee-Mix normal	{'hot_drinks'}	1184489
Wrap Falafel + ohne Extras**	Tagesangebote + Extras Essen	set()	1858681
Meshka #1 + Honey oat + NO ADD-ON + For Here + 21	BAGEL MENU + BAGEL OPTIONS + ADD-ONS + For Here or To Go? + Table Number	set()	1735889
3er Box #1 + Peanut-Fudge Donut * + Peanut-Fudge Donut * + Himbeer-Pistazie Donut *	Dessert + Dessert + Dessert + Dessert	set()	77883
Ouzo 0,2l	Spirituosen	{'spirits'}	1487613
Penne all‘arrabbiata	Take Away MA Impfzentrum	set()	1746180
Crown Royal Whisky 4cl	Spirits After Dinner	set()	1389355
Mais-Poularde Bowl + Sushireis + Edamame-Bohnen + Frühlingszwiebeln + Gurke + Kein weiteres extra + Teriyaki Marinade + Honigmelone + Avocado + Möhre + Kein weiteres Topping + Lawaii Sesam + Chili-Honig-Mix + Kein weiteres Crunchy	Selbstmix Poke Bowl + Base + Inklusiv-Mix in + Inklusiv-Mix in + Inklusiv-Mix in + Extra Mix-in + Marinade + Inklusiv Topping + Inklusiv Topping + Inklusiv Topping + Extra Topping + Sauce + Inklusiv Crunchy-Topping + Extra Crunchy-Topping	set()	295225
Pizza Rustika kl.	Pizza klein	set()	1694720
Hauswein Nero d´Avola 0.2l	Rotweine	{'wine'}	45016
Salatteller + mit Kräutersauce + mit Ajoli	Speisen + Zwangsabfrage Vöner + Zwangsabfrage Vöner	set()	1730200
0,2 Primitivo Puglia	Wein & Sekt	{'sparkling_wine'}	78893
Black Macchiato	Spezialitäten	{'hot_drinks'}	314504
Camembert groß + +Röstzwiebeln + +Kraut + + Schinken + Knobi + +Eisberg	Croques Veggi + AF Croques + AF Croques + AF Croques + AF Croques + AF Croques	set()	833549
Kleiner Becher + Smarties + Dunkle Schokolade	Becher + Abfrage Toppings + Abfrage Toppings	set()	710402
Butcher`s BBQ Burger + Süsskartoffel Pommes. + --	Hauptgerichte + AF Burger + AF Pommes,Fries	set()	1415524
Burrata	Meze	set()	282038
Kaffee americano + Ohne Zucker	Heiße Getränke + AF Heißgetränke	{'hot_drinks'}	135309
Schawarma Menü + Fanta * + - + Chilli Cheese	Lebanese Food + AF Menü Getränke + AF Burger + Abfrage Saucen	{'carbonated_softdrink'}	310409
Anticuchos	Viande	set()	1400095
Striploin/Rumpsteak 200g + medium well/medium plus + Kleiner Salat + Süßkartoffelpommes	Hauptgänge + Gargrad + Beilagen + Beilagen	set()	151881
Tee Känchen + Grüner Tee	Heißgetränke + AF Teesorte	{'hot_drinks'}	1408571
+Pommes	Burger	set()	376500
Champignonsauce	Saucen	set()	579312
KENYA Gakuyuini AA Espresso	Retail coffee	set()	1829172
Quiche Lorraine #1	Warme Speisen	set()	333958
Rocca Ruba Magnum	Rotweine	{'wine'}	118548
Rinds Filet 300gr + Beilage Pommes	HEISSER STEIN ABEND + inklusiv. Beilagen	set()	1731113
Zackenbarsch, Kürbis, Nussbutter, Brokkoli	Hauptspeisen	set()	423592
Adrak Paneer To go + Mild	Hauptspeisen Vegetarisch + Abfrage Schärfegrad	set()	739144
Schwammerlsauce extra	Beilagen	set()	797693
Regina Instagram	Lievitati naturali	set()	478061
A4 100g 1-10 + farbig doppelseitig 0,79€	1-10 Seiten A4 + AF 1-10 Seiten A4	set()	23520
Oktopus & Jackobsmuschel	Silvester	set()	527653
Boston + Gekochtes Ei	Frühstück + Abfrage für Boston	set()	197952
Pfannenstielhof St. Magdalener 0,75 l	Rotweine	{'wine'}	2041813
Kandi Malz 0,33l	Alkoholfreie Getränke	set()	1870726
WINKEL SAUVIGNON	WEISSWEIN FLACHE.	{'wine'}	963508
(5) Mulligatawny	Suppen	set()	279488
31 Rumpsteak 250g + Durch + Pommes + -	Argentinische Steks + Abfrage Garstufe + Beilage Änderung + Abfrage bei Schnitzel	set()	509651
Tequila Gold	Drinks	{'spirits'}	1801536
Parga-Teller + -Reis + +Pommes	Gemischte Spezialitäten vom Grill + AF Änderung - + AF Änderung +	set()	1116491
Mittag Chili-Cheese Burger + Medium + /// + AF Dippers + Menü Hot BBQ Sauce + Menü Aioli-Limette + Menü Fritz Rhabarberschorle	Mittagsmenü Burger + AF Garstufe + AF Extras + AF Siders + Dips + Dips + Fritz & Softdrinks	{'carbonated_softdrink', 'beauty_venues', 'other_non_alcoholic_drinks'}	1782725
Penang Curry Ramen	Ramen	set()	644487
GF Nougat cookie	Bakery	set()	282939
Tee Samoa + Pfand 1€	Heiße Getränke + Pfand & Recup	{'hot_drinks'}	661275
Salade Bretonne	Suppen & Salate	set()	412822
Mousaka	Hausgericht	set()	604519
Raspberry Bobo Shake L + Cream + Tapioca	TEEnJOY‘s Special + Cream + Topping	{'hot_drinks'}	1372696
Kürbisrisotto	Haupt gerichte	set()	1710951
Cordon Bleu/Hähnchen + Spätzle.	Hauptgerichte + Zwangsabfrage Schnitzel	set()	952331
Fisch Lachsfilet	Mittagsmenü	set()	1689497
413 Taglio. Trüffel	CONO	set()	689128
West Red 155g Box	Tabakwaren	set()	1901106
Wrap Harissa–Falafel + Salat alles* #1 + Erdnuss Sauce + Sesam + Joghurt–Minze + Mitnahme	Wrap + AF Wrap_ + AF Sauce + AF Sauce + AF Sauce + AF Inhouse/Mitnahme	set()	328136
Honey Ribs + mit Süßkartoffeln + Knobi	Meat Dishes + Beilage Meat Dishes + Dip	set()	616700
Classic Cheesecake	Nachspeisen	set()	1836668
Gespritzter Weisswein süess	Drinks	{'spirits', 'sparkling_wine', 'wine'}	1991960
Waffel selber gestalten + Dulche de Leche + Kokosflocken + Oreo Kekse	Waffeln + AF Toppings Waffeln + AF Toppings Waffeln + AF Toppings Waffeln	set()	281661
Bluse € 34,90	03 Bluse	set()	484973
Grappa Il Ribelle 2cl	Digestif	{'spirits'}	1566416
Afrikanisches Chakalaka	StaySpiced Gewürze	set()	1452686
Divers. Frankreich Rot Burgund/ Loire 0,7l	Rot Burgund/ Loire	set()	127557
Mineralwasser Fl. 0,75 l + ohne Gas	Softdrinks + AF Wasser	{'other_non_alcoholic_drinks'}	94730
Sprite+Coca Cola 0,4l	Alkoholfreies	{'carbonated_softdrink'}	783445
Der Herrliche  180g + Durch + Süsskartoffel Fritten* + Salat Nebenher* + Joghurt + Mayo + Ohne	Burger + Abfrage Gargrade + Abfrage Beilagen + Abfrage Beilagen + Abfrage Dips & Saucen (nur bei Fritten, sonst OHNE)* + Abfrage Dips & Saucen (nur bei Fritten, sonst OHNE)* + Abfrage Burger Extra Topping	set()	1569519
Blunzenbrot Spiegelei	Speisen	set()	1574773
13. Pizza Tonno-Cipolla 26 + Salat Extra Pizza	Pizza 26Ø + AF Pizza 20/26/30 optional	set()	78387
Cuba Libre	Cocktails / Mixgetränke	{'spirits'}	1535070
Afri Cola 0.4l	Alkoholfreie Getränke	{'carbonated_softdrink'}	1844477
Kohlrabicremesuppe klein + Ohne Löffel	Suppen klein + Pfand	set()	197853
Nachos Normal + doppelt Käse	Nachos + AF Extra Nachos	set()	1909115
Y Cocktails	Cocktails	{'spirits'}	1370813
Currywurst Spezial + Röstzwiebeln*1 + 7 + Pommes*2 + Bruzzelremo + Ohne Soße + Ohne Beilage + Ohne Beilage*1	Currywurst + Beilagen incl. + Scharfe Soßen + Beilagen + Extras + Scharfe Soßen + Beilagen + Extras	set()	1649918
Chicken Avocado Wrap + Ohne Oliven + Ohne Bohnen + Cocktail + Hier essen	Wraps + A_Zutaten + A_Zutaten + Saucen + Sonstiges	set()	1039935
SouthernThaiCveganStammk.-2€ Rabatt *	Speisen	set()	1533390
Divers. Mandelmilch	MANDEL/SOJA/KOKOSMILCH	{'other_non_alcoholic_drinks'}	1063402
17	Pizza	set()	911540
TASSE KAFFE	HEISSGETRANKE	{'hot_drinks'}	164339
Vodka Redbull R.**	Samstag R.	{'carbonated_softdrink', 'spirits'}	10251
Pfannenglück + Gemüse	Frühstück + Frühstück	set()	1955949
Gewürztraminer 1/8l	Wein	{'wine'}	681091
Vodka Orange	Highballs, Longdrinks & Spritz	{'spirits', 'sparkling_wine', 'other_non_alcoholic_drinks'}	1570270
Schnitzel KLEIN ohne Pommes	HAUPTGÄNGE	set()	1584390
Chilly Baby Corn	FROM OUR CHINESE WOK	set()	670388
Fruchttea ToGo	Bubbletea ToGo	{'other_non_alcoholic_drinks'}	716717
Hendrick's Gin	Spirituosen	{'spirits'}	565912
Coca-Cola zero 0,2	Softdrinks	{'carbonated_softdrink'}	220906
Salat „Klein“	Außer-Haus Karte	set()	1633549
Holztafel für Dich + Mehrkornbrötchen + Mehrkornbrötchen + Med.Tomatenaufstri + F–käse mit Schnitt + Gouda + Tomaten Mozzarella + Rührei + 1 Orangensaft nicht vergessen!	Breakfast board + Abfrage Brot + Abfrage Brot + Abfrage Aufstrich + Abfrage Aufstrich + Abfrage Belag + Abfrage Belag + Abfrage Frühstücksei + Abfrage Frühstücksei	{'carbonated_softdrink'}	643159
Nature Petit + Kiwi* + -TOPPING Perles de fruits- + - Sans -	Bubble Tea + Goût Nature + Topping + Supplément Toping	{'other_non_alcoholic_drinks'}	141046
Bio-Passata 690ml	Feinkost Essen G.-Ali. Artikel	set()	782051
Feta Rokali Pide * + Cacik/Zaziki + BS1 Coban-Salata + Granatapfel + Sirma Granatapfel 0,25l *	Pide Menü Lieferando + Abfrage Pide + Beilagen + Abfrage Salat + Kaltgetränke*	set()	1851788
CB Schwein Wallis + Nudeln	Cordonbleus + AF Beilagen	set()	1570712
"Tavel ""Corne-Loup"""	Vins rosés	{'wine'}	1322967
Chicken Poké + White Rice + OHNE Mais + Mit allem + Spicy Mayo + MITNEHMEN	Poké + Reisauswahl + Zutaten + Zutaten + Saucen + Art	set()	1057531
Planteur	Cocktail	{'spirits'}	1562727
Shisha + Kaugummi	Shisha + Abfrage shisha geschmack	set()	1506089
6.Hawaii	WRAPS klein	set()	1169930
Linie Aquavit	Obstbrände & Aquavit	{'spirits'}	1153845
5er + ToGo ohne Tüte + Weiße Schokolade + MI Weiße Schokolade + TI Oreo + TI M&Ms + FI Heidelbeeren	Choose It + Choose It + Abfrage Fill It + Abfrage Melt it + Abfrage Top It + Abfrage Top It + Abfrage Fruit It	set()	812139
Masticha Likör 2 cl klein	Spirituosen	{'spirits'}	1040236
Muskateller Fleckl	Gassenverkauf Weisswein	{'wine'}	196061
Kebab + *Mozzarella* + Zwiebeln + Salat + Tomaten + Joghurt + Cocktail + Mitnehmen	Kebab & Dürüm + Z_Extras + A_Zutaten + A_Zutaten + A_Zutaten + Saucen + Saucen + Sonstiges	set()	1930953
Divers. Ab Hof Preise Hagn	Weingut Hagn	{'wine'}	1899868
Grüner Salat	Barfood	set()	1458429
Belvedere Wodka 2cl	Schnäpse	{'spirits'}	1445237
Malbec 2dl	ROTWEIN OFFEN	{'wine'}	1267116
Rebowl.	Hauptspeisen	set()	1030375
R. Tom-Yum- + Knusprige Ente, + Alle Topping	9Chan Nudelsuppe + Abfrage 9chan suppe 2 + Abfrage 9chan suppe 3	set()	263734
Domeniile Panciu Blanc	Bouteille Vin Blanc	{'wine'}	1898645
Gemüse	Salat	set()	1567633
Apfel Schorle 0.4	Saftschorle	{'carbonated_softdrink'}	858458
Pop	EM Carte	set()	1280147
Kalbsschnitzel Soße ohne Sardelle	Klassische Gerichte	set()	1397788
Obstbrände 2cl	Korn, Klare & CO	{'spirits'}	786485
TO-GO Coctail	Cocktails	{'spirits'}	1705194
sauer.	Af Weinschorle	{'sparkling_wine'}	1577466
Shirt Mint Gr. 68	Noppies	set()	862635
Lady Steak + medium + Zwiebel KB	Haupt Gerichte + AF STEAK Gargrad + AF Extras Steak	set()	58638
Softgetränke	3040 Softgetränke	set()	1667677
Heiße Weiße Schokolade + —	Warme Drinks + AF Milchsorten	{'hot_drinks'}	1955414
Zep Niki black 15x20	Bilderrahmen	set()	470399
5er + ToGo ohne Tüte + Vollmilch Schoko + MI Vollmilch Schoko + MI Weiße Schokolade + TI Bunte Streusel + TI M&Ms + TI Cookies + FI Bananen	Choose It + Choose It + Abfrage Fill It + Abfrage Melt it + Abfrage Melt it + Abfrage Top It + Abfrage Top It + Abfrage Top It + Abfrage Fruit It	set()	1253921
La dinan + Jambon + Œuf	Galettes + Suppléments + Suppléments	set()	896813
Lübzer Pils 0,25l	Bier	{'beer'}	1677100
Menü + Meat on Meat + Onion Rings 9st * + Spicy Mayo + Softdrink*	Menu / Kidz / Schüler + Sandwiches + Beilagen + Soßen + AF Menu Drinks	set()	1565302
Pizza Funghi + MIT Mais	Pizza + AFO Pizzen MIT	set()	1062641
*Focccacia + —	takeAway essen + AF Verpackung_	set()	995902
Gin Sour *	Happy Hour Cocktails Alkohol*	{'spirits'}	106269
Eis des Tages + Sauerrahm	Dessert + AF Eissorten	set()	356555
Pils alkoholfreies 0,33l.	Getränke Restaurant	{'beer'}	21362
Kleines Schnitzel paniert umbestellt! + - - - + Mayonnaise dazu + Ketchup dazu	Gerichte umbestellt + AF Beilage zum Auswählen anstatt + AF Dip + AF Dip	set()	1191653
Tages Pizza	Mittagsmenü	set()	669120
Limu organic 0,25kg + Bohne	Kaffee + Af Bohne / Gemahlen	set()	1637710
Asia Burger Rind Teriyaki Sauce	Asia Burger	set()	1285922
Salat Halloumi	Salate	set()	479920
Iced Coffee	1 Milchgetränke	{'hot_drinks', 'other_non_alcoholic_drinks'}	1030907
Mittagsmenü + Greek Burger + Sesam + Beef + Keine + Süsskartoffel + Mayo + Mexo Mix	Mittagsmenü + Burger + Sorten Brot + Sorten Fleisch + Extras + Fries + Saucen + Getränke	{'carbonated_softdrink'}	1210697
Quesadilla	Resto	set()	1179856
Ginger Mule	Cocktails alkoholfrei	{'spirits'}	1481810
MT Alster 0.3l*	Mittagstisch Getränke	{'beer'}	216970
AF Hefeweizen 0.5 l	Biere	{'beer'}	197086
Zwiebel mit P&S + ..Mit Pfefferahmsoße	Schnitzel + Abfrage Schnitzel	set()	1478046
Holdrio	TEE	{'hot_drinks'}	1294005
Sigara Börek Salat	Salate	set()	567207
Rum SHOT	Alcolici	{'spirits'}	322330
Kirschsaft 1 l	AF Botte 1 l	{'other_non_alcoholic_drinks'}	1820931
Schorlen 0,4 Liter + Cranberry	Säfte & Schorlen + AFZ Säfte&Schorlen	{'carbonated_softdrink'}	1611578
Chicken Wings + Beilage Pommes groß + Beilage Mayo	Nuggets & wings + Zwangsabfrage Größe Beilage + Zwangsabfrage Beilage Soße	set()	858138
Salat klein + Balsamico/ Himbeere + mit Parmesan	Beilagen + AF Salat_ + AF Salat_	set()	895181
Saftschorle + Rhababer	SÄFTE + SÄFTE	{'carbonated_softdrink'}	827535
Sar	Poissonnerie	set()	667487
Käseburger + Pommes Frites  Beilage + Mayo + Schmorzwiebeln	Burger + Beilagen zum Burger + Dips + Pimp deinen Burger	set()	1134591
Milchkaffee F + mit Oatly B.	FAUSTO + AFO MILCH/Sahne	{'hot_drinks'}	153045
Erbseneintopf mit Bockwurst und Brötchen	Stammessen	set()	187853
Prima Blond Conditioner	Estel Produkte	{'beauty_venues'}	232081
Matcha-Bananen-Shake + mit normaler Milch	Tee + Abfrage Kaffee, Tee, Matcha	{'hot_drinks', 'other_non_alcoholic_drinks'}	1521444
Halber Liter Jever**	Fassbiere	{'beer'}	1941352
zusätzlicher Belag + roher Schinken	Frühstück + AF Frühstück Beilagen	set()	1830133
Mais/Zwiebeln/Champignons/Peperoni/Käse	Chefkochs	set()	1080194
Chef Salat Meeresfrüchte	Salate	set()	1623811
88 Marchesi di Barolo Riserva	Flaschen Wein	{'wine'}	905314
Baguette	Brot Brötchen	set()	456183
mit Schafkäse	Wirtshauskarte	set()	939953
Green Alternative Milk Tea + Blueberry # + Lychee Spheres + 1 * Topping + Soy Drink + No Sugar	Iced Fruity Tea + Flavoring + Topping + Topping Amount & Special + Topping Amount & Special + Sweetness & Temp.	{'other_non_alcoholic_drinks'}	1192312
PBJ + Cinnamon Raisin + NO ADD-ON	BAGEL MENU + BAGEL OPTIONS + ADD-ONS	set()	417114
Jungfuchs mit Fritten + Ohne Sauce + Briochebun + Mit Hausfritten	JUNGFUCHS + Optional Burger + ZWA alle Burger + ZWA Fritten	set()	787154
Probierset Espresso 4x 250g + gemahlen	KAFFEE BOHNEN + AF Kaffeebohnen	set()	12704
2 Kugeln + Quitten + Zwetschge + mit Rahm	Gelati/Sorbetti + AF Gelati/Sorbetti + AF Gelati/Sorbetti + AF Gelati Zusatz	set()	398945
Kleines Frühstück + - + Mini Cappuccino ++ Saft + No Tea + Vollmilch.	Kaffee + AF Kl. Frühstück 1 + AF Kl. Frühstück 2 + AF Kl. Frühstück 3 + AF Kaffee_	{'hot_drinks'}	1737058
Cappuccino groß + laktosefreier Milch	Kaffee & Heissgetränke + AF Heißgetränke	{'hot_drinks'}	1561520
Herz Waffel Vanille + Nutella + Banane + Erdbeere + Mandel Stückchen + Baunti + Weiße soße + - ohne Eis - + mit Sahne	Waffeln & Eis + Abfrage Aufstrich + Abfrage Frucht + Abfrage Frucht + Abfrage Topping + Abfrage Spezial + Abfrage Soße + Abfrage Eis (Waffeln, Shakes, Crazy Shakes) + Abfrage Sahne	set()	1065398
Muralhas 0.7	Flaschen Weine	{'wine'}	1330232
Softdrink 0,33l	Alkoholfreie Getränke	{'carbonated_softdrink'}	1212833
Rooibos au Lait	Mischmilchgetränke	{'other_non_alcoholic_drinks'}	1501864
Selters Classic 0.75l	Kaltgetränke	{'other_non_alcoholic_drinks'}	957742
Barbaresco Corsini 0,75	AH Rotwein	{'wine'}	1786262
Koriander-Halloumi Wrap	Wraps	set()	1751464
44 Pizza Prosciutto + Paprika + Frische Salsiccia + Mais	Pizza + AF Beilagen/Zutaten + AF Beilagen/Zutaten + AF Beilagen/Zutaten	set()	1855573
Ruanda Unverpackt + 500g Unverpackt -32	Kaffee Unverpackt + Abfrage Unverpackt 32€	set()	16396
+Pommes	Burger	set()	1810932
Beilagen.Salat	Salate	set()	280880
Menü CHICKEN Double * + Klassisch + mit Fritten + Cheese Sauce + Fanta 0,33l + ——————	Burger* + AF Wähle dein Brot + AF Fritten + AF Saucen + AF Getränke + Saucen**AF	{'carbonated_softdrink'}	468639
Truthahn-Schinken-Bacon 30cm + -Bacon + - + - + -	Premium Sandwiches 30cm + AF Zutaten + AF Zutaten + AF Zutaten + AF Zutaten	set()	969959
2er-Mix + Shawarma + Kafta + Hummus BL + Chili–Mayo + Keine Sauce + Inhouse	Platte + Platte + Platte + AF Beilage + AF Sauce + AF Extras + AF Inhouse/Mitnahme	set()	614209
Cappuccino groß + laktosefreier Milch	Kaffee & Heissgetränke + AF Heißgetränke	{'hot_drinks'}	2057401
(56) Pizza Monte + +Peperoni Gemischt + Keine Extra Zutat	Pizza + Extra Zutaten + Ohne Zutaten	set()	1819624
Beef des Monats + Brioche + Rindfleisch + No extra Patty + + Käsesauce + + B&B Steak Fries + + B&B Burger Sauce	Burger + Burger Abfrage 1 + Danach Burger Abfrage 2 + Danach Burger Abfrage 3 (mehrfach möglich) + Additionen (nicht verstanden) + Additionen (nicht verstanden) + Additionen (nicht verstanden)	set()	1790342
Croissant ricotta	Piccola Pasticceria	set()	14953
Pizza Sarda	Pizza	set()	1586468
Divers. Nussiges	Nussiges	set()	937888
Thunfischtatar	Tafel	set()	1522886
Hüftfilet 180g + Medium + Pfannengemüse	Steaks + AF Gargrad + Beilagen	set()	849301
Royal Soda Coco 50cl	Boissons fraiches	set()	1614891
Eberb. Spätburgunder 1/4	Wein & Sekt	{'sparkling_wine'}	549278
Lamm-Steak	Fleisch	set()	167026
Gutes Eis Erdbeer	Nachspeisen	set()	230991
Rib-Eye-Steak 220g + Medium + Tomatensalat* + Country Potatoes S & C	Steaks + AF Gargrad + Beilagen + Beilagen	set()	1677866
Chinotto	AFG	set()	1078969
Cola Light	Wasser & Softdrinks	{'carbonated_softdrink', 'other_non_alcoholic_drinks'}	1619098
Elsässer - Quiche	Vorspeisen	set()	585895
Geil Rot süß 0,2 l	Rotwein	{'wine'}	1107680
Currywurst Riesen + 2 + Pommes*2 + Jupp Soße	Currywurst + Scharfe Soßen + Beilagen + Extras	set()	957791
Rühreier	Frühstücke	set()	487406
Bombay Saphire 4cl	Longdrinks	{'spirits'}	677080
Liptauer kl	Vesper	set()	387750
Guatemala Cosecha 15, 1000g	Röstkaffee	set()	763563
AF Gin Basil Smash	Cocktails	{'spirits'}	2032441
V.Bourgogne	Vins	{'wine'}	1398672
A04. Gurken Mu-Err-Pilze Salat	Vorspeise	set()	738852
Gyros-Pfanne + mit Pommes + Gyros dicke Bohnen	Pfannen Gerichte + Abfrage Beilage + Abfarge Gyros-Pfanne	set()	996585
Cuba 250 g	Kaffee	set()	1238557
Latte Macchiato 180ml + Mit Kokosreismilch	Heißgetränke + AO Milch	{'hot_drinks', 'other_non_alcoholic_drinks'}	1025779
Alphonse Haze 0,4l	Biere	{'beer'}	624119
Spicy + Medium Rare + Dunkles Brot + Gegrilltes Gemüse	Burgers + Burgers + Burgers + Beilagen	set()	1887236
Chicken Bowl + Reise + Knoblauch + Kartoffelchips	Bowls + Abfrage Basis + Abfrage Saucen + Abfrage Topping	set()	186981
Mojito XXL + Kiwi Mojito	Cocktails XXL + AF_Mojito	{'spirits'}	1160423
extra Pommes	Zusatzbeilagen	set()	670427
Pizza Parma + Oliven	Pizza + Extras Pizza	set()	1900215
115 Pros Funghi Kl.	Pizza	set()	1075924
Oskar Blues (USA)	EM Carte	set()	412059
Serviettenknödel	Tagesangebot	set()	1716762
Pommes Klein	Sides und Saucen	set()	1618119
Klimmek Apfel trüb 0,2l	Säfte	{'other_non_alcoholic_drinks'}	1158260
TWO FACES BREUER 0,2l	Offene Rotweine	{'wine'}	1900337
Tafelwasser 1,0l	Ohne Alkohol	{'other_non_alcoholic_drinks'}	248757
Fenchelsalami	Frühstück Extra	set()	1202583
Grapefruit- Schorle 0.4 *	Abfrage Schorle	{'carbonated_softdrink'}	1618649
Waldhonig	Honig/Marmelade/Molke	set()	134247
Torten + Mango-Maracuja	Div. Speisen + Div. Speisen	set()	1998824
Caffe Latte + FLAVOUR Hazelnuss + Laktosefrei	Coffee & Co + OPTIONS Kaffeegetränke + OPTIONS Kaffeegetränke	{'hot_drinks'}	2046745
Tartufata* + Tagliatelle Chili + Kein Extras	Saucen + Pasta Abfrage + Extras	set()	1228598
Cassagne Montrachet	Weißwein FR	{'wine'}	819161
78 Gem. Eis	Dessert	set()	843338
Japanese Plum Sour	Getränkebegleitung a la carte	{'spirits'}	302289
Cheeseburger Menü + Rustikal + normal, + Onion Rings* + chili cheese fries. + Rouille- Dip. + Fritz….	Burger Menü + AF Brötchen + AF  Größe + AF  Extras + AF Menü Beilagen + AF Dips kostenlos + Getränke Käseburger	{'other_non_alcoholic_drinks'}	1151961
Sprite 0.2l	Wasser und Softdrinks	{'carbonated_softdrink', 'other_non_alcoholic_drinks'}	1045104
Krokant-Karamell-Becher	Süß und Nussig	set()	1481980
Frühstück Primavera + Mit Cappu Groß	Frühstück + AF Frühstücksabfragen	set()	684819
Kaffeebohnen 1 kg	BOHNEN	set()	1512334
A Mano Primitivo 0,25	Wein	{'wine'}	1182348
Huftsteak 200g + Medium + Folienkartoffel + Sauce Hollandaise	Steaks + Abfrage Gargrad + Beilagen + Saucen	set()	1448595
GV Nikolaihof 2015 0.75	Getränke Divers	set()	2001221
5er + ToGo ohne Tüte + Weiße Schokolade + MI Vollmilch Schoko + MI Weiße Schokolade + TI Bunte Streusel + TI M&Ms + FI Ohne	Abfrage Größe + Abfrage Größe + Abfrage Füllung + Abfrage Soße + Abfrage Soße + Abfrage Topping + Abfrage Topping + Abfrage Früchte	set()	1049167
Bubblewaffel + Veganer Teig + Vanille. + Himbeer soße + Himbeeren + Blaubeeren	Waffeln + ZAF Waffelsorte + Softeis + 1. ZAF Soße Waffeln + 2. ZAF 2 Toppings Waffeln + 2. ZAF 2 Toppings Waffeln	set()	2028569
Williams Birne Scheibel4cl	Schnäps	{'spirits'}	1428751
Zigeuner Schnitzel + mit Bratkartoffeln + Ohne Mayo/Ketchup	Verschiedenes + AFZ Schnitzel + Sauce	set()	1570723
Apfelsaft 0.3l	Säfte / Juice	{'carbonated_softdrink', 'other_non_alcoholic_drinks'}	1519137
Herzwaffel + Vanilleteig + Weiße Schokolade soße + Erdbeeren + Himbeeren + Keine Eissorte	Waffeln + ZAF Waffelsorte + 1. ZAF Soße Waffeln + 2. ZAF 2 Toppings Waffeln + 2. ZAF 2 Toppings Waffeln + 3. ZAF Eis optional(Eissorte)	set()	1938654
Daiquiri	Alkoholische Cocktails	{'spirits'}	408897
Green Tea + #Blueberry + Tapioca + 1 * Topping + 50% Sugar	Iced Fruity Tea + Flavoring + Topping + Topping Amount & Special + Sweetness & Temp.	{'other_non_alcoholic_drinks'}	1153621
Flasche Wein	alkoholisch getränke	{'wine'}	459341
Flight japon	Flights	set()	247101
